,Date and Time,Name,Phone Number,Location,Estimated Number of Victims,Report Details,Category
34,2023-12-01 11:59:05,Pimana Hampon,9988452211,"Las Von Subd., Brgy. Poblacion Uno, Cabuyao City, Laguna",4,"may nabagsakan ng ilaw rito sa chapel sa ulo, nahinga pero ang daming dugo, need first aid at ipunta sa ambulansya",Medical Emergency
35,2023-12-05 12:03:05,Iram Marquez,9784513601,"Block 54 Lot 41 Junel Subd., Brgy. Mamatid, Cabuyao City, Laguna",2,"di nagising yung dalawa kong anak na may cancer kanina pa, kailangan ng ambulansya",Medical Emergency
36,2023-11-18 6:05:47,Iraya Manceto,9451234567,"Block 14 Lot 11 Junel Subd., Brgy. Mamatid, Cabuyao City, Laguna",1,"di nagigising yung lolo ko po, ambulansya po rito sa junel mamatid",Medical Emergency
37,2023-11-19 8:05:41,Paul Mariano,9875623147,"Block 4 Lot 16 Arren Marwan Subd., Brgy. Mamatid, Cabuyao City, Laguna",1,"di nagigising yung nanay ko, ambulansya po rito sa arren marwan",Medical Emergency
38,2023-11-20 6:09:47,Jose Bantay,9794523258,"Block 5 Lot 1 Portanio Subd., Brgy. Mamatid, Cabuyao City, Laguna",1,"may nagbanggaan na motor, ang daming dugo, kailangan ng ambulansya",Vehicular Accident
39,2023-11-21 6:05:00,Maria Laguna,9154578236,"Block 3 Lot 3 Junel Subd., Brgy. Mamatid, Cabuyao City, Laguna",1,"may nabagsakan po ng ilaw, nabula bibig, kailangan ng ambulansya",Medical Emergency
40,2023-11-22 6:05:41,Wallian Uy,9651234587,"Block 6 Lot 9 Junel Subd., Brgy. Mamatid, Cabuyao City, Laguna",1,"may nasunugan dito, lapnos balat, may dugo, kailangan first aid at ambulansya",Medical Emergency
41,2023-01-15 9:30:00,Maria Santos,9123456789,"Golden Meadows Subdivision, Brgy. Banay-Banay, Cabuyao City, Laguna",1,Someone got hit and run. They're bleeding profusely. They need first aid and ambulance.,Medical Emergency
42,2023-03-02 14:15:45,Juan Cruz,9234567890,"Block 8, Lot 5, Rainbow Heights, Brgy. Banlic, Cabuyao City, Laguna",1,My friend just collapsed at the gym. We need an ambulance right away,Medical Emergency
43,2023-05-20 18:00:22,Luz Reyes,9345678901,"Lot 10, Block 2, Emerald Gardens, Brgy. Bigaa, Cabuyao City, Laguna",1,My grandma's having trouble breathing. Can you send help quickly?,Medical Emergency
44,2023-07-10 10:45:10,Jennifer Gonzales,9456789012,"Sunshine Bar and Resto, Brgy. Butong, Cabuyao City, Laguna",1,There's a guy outside the bar who got into a fight and he's bleeding badly. We need an ambulance!,Medical Emergency
45,2023-09-05 16:20:30,Sofia Garcia,9567890123,"Lot 6, Block 12, Maple Grove, Brgy. Casile, Cabuyao City, Laguna",1,"my daughter accidentally swallowed some cleaning solution. Her mouth appears to have bubbles come out, send help please ambulance please",Medical Emergency
46,2023-10-12 11:11:11,Gabriel Dela Cruz,9678901234,"Diamond Crest Co., Brgy. Diezmo, Cabuyao City, Laguna",1,My coworker just fainted in the office and their head hit a table. They're bleeding and unresponsive. Can you send someone to help?,Medical Emergency
47,2023-11-25 20:05:55,Lourdes Fernandez,9789012345,"Harmony Village, Brgy. Gulod, Cabuyao City, Laguna",1,my husband's having chest pains and it won't go away. Send help please! First aid we need it,Medical Emergency
48,2023-12-09 12:48:09,Manuel Ramirez,9890123456,"Block 6, Lot 11, Villa Aurora, Brgy. Mamatid, Cabuyao City, Laguna",1,"There's a cyclist who got hit by a car. Head's bleeding profusely, send an ambulance please",Vehicular Accident
49,2023-02-28 23:59:59,Consuelo Torres,9901234567,"Lot 4, Block 7, Ivory Heights, Brgy. Marinig, Cabuyao City, Laguna",1,My son broke his arm while playing in the backyard. We need first aid please,Medical Emergency
50,2023-04-17 8:30:45,Antonio Lopez,9112345678,"Block 9, Lot 14, Royal Palms Subdivision, Brgy. Niugan, Cabuyao City, Laguna",1,My neighbor's baby has a high fever and won't stop crying for days. Can you send a doctor?,Medical Emergency
51,2023-06-30 17:10:20,Rosario Perez,9223456789,"Lot 8, Block 5, Sunflower Park, Brgy. Pittland, Cabuyao City, Laguna",1,"woman on the bus is having a seizure, we need help! ambulance!",Medical Emergency
52,2023-08-08 5:55:00,Eduardo Rivera,9334567890,"Block 11, Lot 6, Crystal Springs, Brgy. Pulo, Cabuyao City, Laguna",1,"My wife just went into labor and it's too early. We need an ambulance, please!",Medical Emergency
53,2023-10-01 14:40:33,Aurora Martinez,9445678901,"Lot 1, Block 8, Pearl Vista Subdivision, Brgy. Sala, Cabuyao City, Laguna",1,"My friend just got stung by a bee and she's allergic. She needs first aid, help",Medical Emergency
54,2023-11-11 19:25:15,Fernando Fernandez,9556789012,"Block 3, Lot 2, Meadowview Estate, Brgy. San Isidro, Cabuyao City, Laguna",1,"My dad's diabetic and his blood sugar's dangerously low. He passed out, send an ambulance please!",Medical Emergency
55,2023-12-25 0:00:01,Carmela Reyes,9667890123,"Lot 5, Block 10, Starlight Village, Brgy. Poblacion Uno, Cabuyao City, Laguna",1,There's a man who fell off a ladder while working on his roof. He needs help and he's bleeding profusely!,Medical Emergency
56,2023-01-07 7:12:30,Miguel Cruz,9778901234,"211 Building Enterprise, Brgy. Poblacion Dos, Cabuyao City, Laguna",1,"My sister just got bitten by a stray dog. Her wound's bleeding, send help",Medical Emergency
57,2023-03-19 10:25:55,Angelica Reyes,9889012345,"Ramos Building, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,My uncle's choking on food and we can't get it out. Send help please,Medical Emergency
58,2023-05-10 16:45:30,Ramon Antonio,9990123456,"Block 2, Lot 1, Green Valley Homes, Brgy. Sala, Cabuyao City, Laguna",1,There's a kid at the playground who broke his leg falling off the swing. We need help! He's not bleeding but unconscious,Medical Emergency
59,2023-07-28 22:20:10,Teresa Garcia,9101234567,"Lot 9, Block 6, Primrose Gardens, Brgy. Butong, Cabuyao City, Laguna",1,My neighbor's elderly mother fell down the stairs. Her head's bleeding a lot. Can you send help?,Medical Emergency
60,2023-09-15 13:35:45,Carlos Sy,9212345678,"Block 5, Lot 8, Meadow Brook Village, Brgy. Banlic, Cabuyao City, Laguna",1,"There's a guy at the park who got bitten by a spider. He needs first aid. Go here at meadow brook village, banlic",Medical Emergency
61,2024-01-01 8:15:30,Peter Pupanio,9123344556,"Along the highway, Brgy. Mamatid, Cabuyao City, Laguna",10,"nagbanggaan na dyip at motor, send help dito, nadugo ulo nung isang tsuper saka ilang pasaher sugatan",Vehicular Accident
62,2024-01-05 13:30:45,Emily Amban,9234455667,"San Lazaro Compound, Brgy. San Isidro, Cabuyao City, Laguna",3,"May nasagasaang bata at ilan dito sa kanto. Madugo ang sugat sa ulo, kailangan ng ambulansya agad",Medical Emergency
63,2024-01-10 18:45:10,Luna Mistika,9345566778,"Emerson Village, Brgy. Banlic, Cabuyao City, Laguna",20,"May sunog sa residential area sa Banlic. Maraming tao ang humihingi ng tulong at may ilan na may hika, kailangan ng medical assistance",Other Emergency
64,2024-01-15 22:00:25,Quentin Trono,9456677889,"Sy Apartment I, Brgy. Banay-banay, Cabuyao City, Laguna",1,"Nahulog sa hagdanan sa apartment complex sa Banay-banay. May tama sa ulo at hindi na gumagalaw, padala po ng ambulansya",Medical Emergency
65,2024-01-20 9:20:50,Juan Chen,9567788900,"Brgy. Hall, Brgy. Diezmo, Cabuyao City, Laguna",1,"Sa tabi ng barangay hall, may nahulog na motorista sa kanal. Duguan ang mukha at hindi makatayo, kailangan ng tulong dito",Medical Emergency
66,2024-01-25 14:35:15,Maria Li,9678890011,"Along the highway, Brgy. Diezmo, Cabuyao City, Laguna",1,"Sa diezmo, mayroong natamaan ng kidlat sa labas ng mall. Hindi na humihinga, kailangan ng first aid",Medical Emergency
67,2024-01-30 19:50:40,Jose Wang,9789900122,"Malaya Mall, Brgy. Sala, Cabuyao City, Laguna",1,"Sa loob ng mall sa sala, mayroong nag-collapse na buntis. Malakas ang bleeding, kailangan ng ambulasya please",Medical Emergency
68,2024-02-04 3:10:05,Luz Zhang,9899001233,"Legazpi St., Sto. Niño Village, Brgy. Marinig, Cabuyao City, Laguna",2,"may nagsusuntukan sa kalye, dalawa na sugatan at nadugo na masyado, kailangan ng medic dito",Medical Emergency
69,2024-02-09 12:25:30,Ramon Liu,9900112344,"Along the highway, Brgy. Poblacion Dos, Cabuyao City, Laguna",2,"May dalawang tao na nalunod sa ilog. Hindi na humihinga, kailangan ng medic dito",Medical Emergency
70,2024-02-14 16:40:55,Anna Huang,9111233455,"Market Market, Brgy. Gulod, Cabuyao City, Laguna",1,"Sa palengke, mayroong babaeng natumba sa kalsada. Hindi na siya makahinga, padala ng ambulansya po",Medical Emergency
71,2024-02-19 21:55:20,Ricardo Lingap,9222344566,"Zone 487, Brgy. Pulo, Cabuyao City, Laguna",1,"mayroong bata na nahulog mula sa ikalawang palapag ng bahay. May tama sa ulo at hindi gumagalaw, kailangan ng tulong ngayon din!",Medical Emergency
72,2024-02-24 7:05:45,Rosario Wu,9332455677,"Ospital de Publiko, Brgy. Butong, Cabuyao City, Laguna",20,"Sa labas ng ospital sa butong, mayroong sumabog na gas tank. Maraming sugatan, kailangan ng mga doctor at ambulansya!!!",Medical Emergency
73,2024-02-29 11:20:10,Ulysses Xu,9444566788,"Janssen Heights, Brgy. Casile, Cabuyao City, Laguna",1,"Isang senior citizen ang na-trip na sa hagdanan, hindi na siya makatayo at mayroon siyang tama sa ulo, duguan",Medical Emergency
74,2024-03-05 15:35:35,Elizabeth Yang,9555677899,"Along the highway, Brgy. Casile, Cabuyao City, Laguna",17,"banggan ng mga truck at dyip dito, ang daming sugatan sa highway",Vehicular Accident
75,2024-03-10 20:50:00,Rodrigo Santos,9666789000,"Ersenio Commercial Building, Brgy. Butong, Cabuyao City, Laguna",30,"May sunog sa isang gusali, maraming tao ang stranded sa loob at may ilang sugatan. Kailangan ng agarang tulong please",Other Emergency
76,2024-03-15 2:00:25,Cristina Cruz,9777890111,"Brgy. Butong, Cabuyao City, Laguna",1,"may bata na nahulog sa ilog at hindi na lumutang, kailangan ng tulong please Panginoon ko",Medical Emergency
77,2024-03-20 6:15:50,Manuel Reyes,9888901222,"Block 8 Lot 3 Qi St., Arriva Compound, Brgy. Bigaa, Cabuyao City, Laguna",1,"nahulog ang isang buntis ng kapitbahay, may nararamdamang matinding sakit at pagdurugo, kailangan ng ambulansya please",Medical Emergency
78,2024-03-25 10:30:15,Patricia Garcia,9990012333,"Along the highway, Brgy. Baclaran, Cabuyao City, Laguna",2,"May mga nag-collapse sa kalsada, mukhang atake sa puso. Padala po ng ambulansya para sa first aid!",Medical Emergency
79,2024-03-30 14:45:40,Eduardo Gonzales,9101123444,"Along the highway, Brgy. Banlic, Cabuyao City, Laguna",1,"May babaeng naglalakad sa bangketa ang na-hit-and-run ng motorsiklo. Duguan ang ulo at hindi makatayo, nakakatakot ang pangyayari",Medical Emergency
80,2024-04-04 19:00:05,Aurora Aquino,9212234555,"Along the highway, Brgy. Niugan, Cabuyao City, Laguna",1,"nasagasaan ang isang lalaki ng grabeng kaskasero, maraming sugat at duguan, kailangan ng medic at first aid dito",Medical Emergency
81,2024-04-09 23:15:30,Fernando Ramos,9323345666,"Quirino St., Washington Village, Brgy. Poblacion Dos, Cabuyao City, Laguna",1,"Isang bata ang naputulan ng daliri habang naglalaro sa labas, medic, needs first aid dito dali po",Medical Emergency
82,2024-04-14 4:30:55,Teresita Dela Cruz,9434456777,"Kamyas St., Brgy. Pulo, Cabuyao City, Laguna",1,"Nawalan ng malay ang isang matanda sa loob ng tindahan, mukhang stroke.",Medical Emergency
83,2024-01-02 8:45:20,Gabriel Torres,9545567888,"Plaza Sentro, Brgy. Casile, Cabuyao City, Laguna",1,"May nagkasakit sa plaza, nagtatae at nagsusuka nang malakas. kailangan ng medic, first aid, at ambulansya rito papuntang ospital",Medical Emergency
84,2024-01-07 14:00:45,Lourdes Reyes,9656678999,"Along the highway, Brgy. Banay-banay, Cabuyao City, Laguna",6,mayroong mga nabagsakan ng malaking kahoy habang naglalakad sa gilid ng kalsada. hindi na makatayo at mayroong mga pasa sa katawan. kailangan ng medic dito sa banay-banay,Medical Emergency
85,2024-01-12 18:15:10,Carlos Smith,9767789000,"Veren St., Brgy. Bigaa, Cabuyao City, Laguna",1,"nahulog yung bata sa puno, unconscious na siya. kailangan ng medic dito",Medical Emergency
86,2024-01-17 22:30:35,Angel Johnson,9878890111,"Kiro Terminal, Brgy. Diezmo, Cabuyao City, Laguna",1,"May lalaki na biglang nahilo at nanghina habang nasa loob ng bus. Mukhang nagkaroon ng heart attack, send ambulance po",Medical Emergency
87,2024-01-22 10:45:00,Francisco Williams,9989901222,"Block 9 Lot 7 Tempest Village, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"matandang babae naaksidente sa kusina at mayroon siyang mga paso sa kamay at mukha, kailangan ng first aid niya, send medic please po",Medical Emergency
88,2024-01-27 16:00:25,Angelica Brown,9190012333,"Along the highway, Brgy. Pittland, Cabuyao City, Laguna",1,Mayroong lalaki ang nadaganan ng nakabanggang kotse. hindi na siya makatayo. Mukhang mayroon siyang fracture sa binti. He needs first aid,Medical Emergency
89,2024-02-01 20:15:50,Gloria Jones,9201123444,"Walls Shopping Centre, Brgy. Diezmo, Cabuyao City, Laguna",1,"Sa loob ng mall, may isang babae ang biglang nag-collapse at hindi na humihinga. Kailangan ng CPR, medic",Medical Emergency
90,2024-02-06 0:30:15,Lorenzo Davis,9312234555,"Along the highway, Brgy. Gulod, Cabuyao City, Laguna",11,"May nagsalpukan na mga sasakyan sa gitna ng kalsada at mayroong ilang pasahero na nasaktan. Kailangan ng medical assistance sa lugar, may natulong dugo sa kalsada na",Medical Emergency
91,2024-02-11 4:45:40,Jennifer Miller,9423345666,"Along the highway, Brgy. Gulod, Cabuyao City, Laguna",3,"some people got caught in a multiple vehicle collision. they look severely injured, send first aid responders, medic, and ambulances",Medical Emergency
92,2024-02-16 9:00:05,Miguel Wilson,9534456777,"Block 9 Lot 3 Sangkan Village, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,my spouse had a heart attack. Send an ambulance please,Medical Emergency
93,2024-02-21 13:15:30,Marilyn Moore,9645567888,"7-Eleven, Brgy. Mamatid, Cabuyao City, Laguna",8,"knife attack here, several are injured, so much blood on the scene. they need first aid",Medical Emergency
94,2024-02-26 17:30:55,Rafael Taylor,9756678999,"Block 6 Lot 4 Imaw Compound, Brgy. Casile, Cabuyao City, Laguna",1,"my father is not responding. he has been experiencing pain on the back, send first aid and ambulance please",Medical Emergency
95,2024-03-02 21:45:20,Marissa Chen,9867789000,"Along the Highway, Brgy. Butong, Cabuyao City, Laguna",5,"multiple vehicle collision, send first responders. people are injured, bleeding profusely",Medical Emergency
96,2024-03-07 2:00:45,Roberto Li,9978890111,"Porter Street, Sakpin Village, Brgy. Marinig, Cabuyao City, Laguna",13,"gang war or multiple guys fighting each other, some were shot and bleeding profusely. send ambulance as soon as possible",Medical Emergency
97,2024-03-12 6:15:10,June Wang,9189901222,"Along the Highway, Brgy. Casile, Cabuyao City, Laguna",2,"two people got hit-and-run, bleeding and unresponsive. send medic here",Medical Emergency
98,2024-03-17 10:30:35,Emmanuel Zhang,9290012333,"Block 4 Lot 4 Jones Compound, Brgy. Marinig, Cabuyao City, Laguna",1,"my aunt is having a heatstroke, send first aid here please",Medical Emergency
99,2024-03-22 14:45:00,Jasmine Liu,9301123444,"Block 1 Lot 1 Lemon Subd., Brgy. San Isidro, Cabuyao City, Laguna",1,my cousin has high fever for three days and is now unresponsive. send ambulance please,Medical Emergency
100,2024-03-27 19:00:25,Nestor Huang,9412234555,"Oval Hotel, Brgy. Diezmo, Cabuyao City, Laguna",5,"i am experiencing stomach pain and my companions are vomitting. we attended a party last night, send help please",Medical Emergency
101,2024-04-01 23:15:50,Carmela Lin,9523345666,"Ang Plaza, Brgy. Pulo, Cabuyao City, Laguna",1,"someone suddenly passed out, they're still unresponsive. send medic here",Medical Emergency
102,2024-04-06 3:30:15,Ernesto Wu,9634456777,"Along the Highway, Brgy. Mamatid, Cabuyao City, Laguna",3,"several tricycles hit each other, people are safe but have minor injuries.",Vehicular Accident
103,2024-04-11 7:45:40,Edith Xu,9745567888,"Along the Highway, Brgy. Diezmo, Cabuyao City, Laguna",9,"two jeepneys hit each other in the highway, some people have minor injuries",Vehicular Accident
104,2024-01-03 9:00:05,Hector Yang,9856678999,"Along the Highway, Brgy. Marinig, Cabuyao City, Laguna",5,"A truck hit multiple cyclists. Some are unresponsive and injured, send responders and ambulances please",Medical Emergency
105,2024-01-08 13:15:30,Michelle Santos,9967789000,"Yi Commercial Building, Brgy, Pulo, Cabuyao City, Laguna",8,"fire on a building. multiple people were working in the morning, send help please",Other Emergency
106,2024-01-13 17:30:55,Mario Cruz,9178890111,"Along the Highway, Brgy. Banay-banay, Cabuyao City, Laguna",18,"Several people are fighting each other. some of them are bleeding already and unresponsive and need medical attention, send help please",Medical Emergency
107,2024-01-18 21:45:20,Cynthia Podatan,9289901222,"Elton Heights, Brgy. Pulo, Cabuyao City, Laguna",50,large fire in the condo. send ambulances please,Other Emergency
108,2024-01-23 2:00:45,Victor Garcia,9390012333,"Along the Highway, Brgy. San Isidro, Cabuyao City, Laguna",3,Motorcycle accident involving collision with tricycle. Rider unresponsive and bleeding.,Vehicular Accident
109,2024-01-28 6:15:10,Melanie Gonzales,9401123444,"Along the Highway, Brgy. San Isidro, Cabuyao City, Laguna",1,Multiple car accident with several injured and bleeding passengers. First aid and ambulance needed immediately,Vehicular Accident
110,2024-02-02 10:30:35,Ernesto Aquino,9512234555,"Along the Highway, Brgy. San Isidro, Cabuyao City, Laguna",2,Multi-vehicle collision. Several individuals bleeding and injured. Urgent need for first aid and ambulance,Vehicular Accident
111,2024-02-07 14:45:00,Mayumi Forteza,9785623984,"Block 5 Lot 5, Rainbow Subd., Brgy. Bigaa, Cabuyao City, Laguna",2,"may nabangsakan ng aparador, nadugo ulo nung isa, yung isa di magalaw kamay. kailangan po ng tulong dito, first aid, ambulansya",Medical Emergency
112,2024-02-12 19:00:25,Jin Espejo,9128369521,"Unit 101, Casile Condominiums, Brgy. Casile, Cabuyao City, Laguna",1,"may pumutok na wire, nahimatay at lapnos yung balat nung isang homeowner, kailangan ng first aid at ambulansya",Medical Emergency
113,2024-02-17 23:15:50,Carl John Son,9123456781,"Block 1 Lot 2 Villa Escudero, Brgy. San Isidro, Cabuyao City, Laguna",1,"di nagigising yung lolo ko po, ambulansya po rito sa villa escudero, may sakit siya sa puso eh",Medical Emergency
114,2024-02-22 3:30:15,Kendall Kiing,9234567812,"Hermano Boulevard, Brgy. Butong, Cabuyao City, Laguna",1,"sumalpok yung motor dito sa pader, di responsive, kailangan ng ambulansya at first aid",Vehicular Accident
115,2024-02-27 7:45:40,Foster Bagunas,9345678123,"Poblacion Tres Plaza, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"may naghampasan ng dos por dos dito sa plaza, yung isa duguan, kailangan ng first aid",Medical Emergency
116,2024-03-03 12:00:05,Ichi Chan,9456781234,"Bunu Business Center, Brgy. Banlic, Cabuyao City, Laguna",1,"May sumalpok na kotse rito sa building sa business center, sugatan yung driver, kailangan ng medic",Vehicular Accident
117,2024-03-08 16:15:30,Jonathan Ambag,9567812345,"Apartment 78, Pulo Parkview Residences, Brgy. Pulo, Cabuyao City, Laguna",1,"yung misis ko po manganganak na, pumutok na panubigan, kailangan po ng first aid o ambulansya please, nakikiusap po ako bilisan niyo po",Medical Emergency
118,2024-03-13 20:30:55,Norman Raouet,9678123456,"Tulipan Street, Brgy. Mamatid, Cabuyao City, Laguna",1,"may nasanggi yung kotse na naglalakad, sugatan at di maigalaw ang paa, kailangan ng medic dito",Medical Emergency
119,2024-03-18 0:45:20,Ben Baretto,9781234567,"Oceanview Subdivision, Brgy. Niugan, Cabuyao City, Laguna",1,"may nabaril dito, nagalaw pa pero duguan, kailangan ng first aid at ambulansya rito",Medical Emergency
120,2024-03-23 5:00:45,Ping Laxamana,9812345678,"Sunshine Village, Brgy. Gulod, Cabuyao City, Laguna",5,"mga nag-aaway, ang dami nang sugatan, kailangan ng ambulansya rito dali",Medical Emergency
121,2024-03-28 9:15:10,Steven Bang,9923456789,"Pittland Plaza, Brgy. Pittland, Cabuyao City, Laguna",1,"may nahimatay, ilang minuto na di nagigising, first aid kailangan o ambulansya",Medical Emergency
